key,img_id,v1,v2,o1,o2,Type,Subtype,Task_template,Context,Label
0_l_a_0001.jpg,l_a_0001.jpg,the suitcase,large,a suitcase,a tree,Logical,Anaphora,Is [v1] too large?,The trophy doesn't fit into the brown suitcase because it's too large. ,0
1_l_a_0001.jpg,l_a_0001.jpg,the suitcase,small,a suitcase,a tree,Logical,Anaphora,Is [v1] too small?,The trophy doesn't fit into the brown suitcase because it's too small. ,1
0_l_a_0001_n.jpg,l_a_0001_n.jpg,the A4 paper,round,a ball,a tree,logical,Anaphora,Is the shape of [v1] [v2] ?,The girl put a ball on top of the A4 paper. ,0
1_l_a_0001_n.jpg,l_a_0001_n.jpg,the ball,round,a ball,a tree,logical,Anaphora,Is the shape of [v1] [v2] ?,The girl put a ball on top of the A4 paper. ,1
0_l_a_0001_n_o.jpg,l_a_0001_n_o.jpg,the laptop,sweet,a laptop,a tree,logical,Anaphora,Is [v1] [v2] ?,There is a laptop and a donut on the desk. It is sweet. ,0
1_l_a_0001_n_o.jpg,l_a_0001_n_o.jpg,the donut,sweet,a donut,a tree,logical,Anaphora,Is [v1] [v2] ?,There is a laptop and a donut on the desk. It is sweet. ,1
0_l_a_0001_o.jpg,l_a_0001_o.jpg,the key,tasty,a key,a tree,logical,Anaphora,Is [v1] [v2] ?,There is a key and a slice of cake on the stool. It is tasty. ,0
1_l_a_0001_o.jpg,l_a_0001_o.jpg,the cake,tasty,a cake,a tree,logical,Anaphora,Is [v1] [v2] ?,There is a key and a slice of cake on the stool. It is tasty. ,1
0_l_a_0003.jpg,l_a_0003.jpg,the man,heavy,a man,a tree,Logical,Anaphora,Was [v1] heavy compared to the son?,The man couldn't lift his son because he was so heavy. ,0
1_l_a_0003.jpg,l_a_0003.jpg,the man,weak,a man,a tree,Logical,Anaphora,Was [v1] weak compared to the son?,The man couldn't lift his son because he was so weak. ,1
0_l_a_0003_n.jpg,l_a_0003_n.jpg,the A4 paper,round,a ball,a tree,logical,Anaphora,Is the shape of [v1] [v2] ?,The boy put a ball on top of the A4 paper. ,0
1_l_a_0003_n.jpg,l_a_0003_n.jpg,the ball,round,a ball,a tree,logical,Anaphora,Is the shape of [v1] [v2] ?,The boy put a ball on top of the A4 paper. ,1
0_l_a_0003_n_o.jpg,l_a_0003_n_o.jpg,the cushion,sleeping,a cushion,a tree,logical,Anaphora,Is [v1] [v2] ?,There is a dog and a cushion on the couch. It is sleeping. ,0
1_l_a_0003_n_o.jpg,l_a_0003_n_o.jpg,the dog,sleeping,a dog,a tree,logical,Anaphora,Is [v1] [v2] ?,There is a dog and a cushion on the couch. It is sleeping. ,1
0_l_a_0003_o.jpg,l_a_0003_o.jpg,the cup,flickering,a cup,a tree,logical,Anaphora,Is [v1] [v2] ?,There is a cup and a candle on the shelf. It is flickering. ,0
1_l_a_0003_o.jpg,l_a_0003_o.jpg,the candle,flickering,a candle,a tree,logical,Anaphora,Is [v1] [v2] ?,There is a cup and a candle on the shelf. It is flickering. ,1
0_l_a_0004.jpg,l_a_0004.jpg,the ball,styrofoam,a ball,a tree,Logical,Anaphora,Is [v1] made of styrofoam?,The large ball crashed right through the table because it was made of styrofoam. ,0
1_l_a_0004.jpg,l_a_0004.jpg,the ball,steal,a ball,a tree,Logical,Anaphora,Is [v1] made of steal?,The large ball crashed right through the table because it was made of steal. ,1
0_l_a_0004_n.jpg,l_a_0004_n.jpg,the cream,red,a man,a tree,logical,Anaphora,Is the color of [v1] [v2] ?,The man put a cherry on the top of the cream. ,0
1_l_a_0004_n.jpg,l_a_0004_n.jpg,the cherry,red,a cherry,a tree,logical,Anaphora,Is the color of [v1] [v2] ?,The man put a cherry on the top of the cream. ,1
0_l_a_0004_n_o.jpg,l_a_0004_n_o.jpg,the cushion,crying,a cushion,a tree,logical,Anaphora,Is [v1] [v2] ?,There is a cat and a cushion on the couch. It is crying. ,0
1_l_a_0004_n_o.jpg,l_a_0004_n_o.jpg,the cat,crying,a cat,a tree,logical,Anaphora,Is [v1] [v2] ?,There is a cat and a cushion on the couch. It is crying. ,1
0_l_a_0004_o.jpg,l_a_0004_o.jpg,the key,empty,a key,a tree,logical,Anaphora,Is [v1] [v2] ?,There is a cup and a key on the desk. It is empty. ,0
1_l_a_0004_o.jpg,l_a_0004_o.jpg,the cup,empty,a cup,a tree,logical,Anaphora,Is [v1] [v2] ?,There is a cup and a key on the desk. It is empty. ,1
0_l_a_0007.jpg,l_a_0007.jpg,the drain,removed,a drain,an iPhone,Logical,Anaphora,It has to be removed. Does it refer to [v1] ?,The drain is clogged with hair. ,0
1_l_a_0007.jpg,l_a_0007.jpg,the drain,cleaned,a drain,an iPhone,Logical,Anaphora,It has to be cleaned. Does it refer to [v1] ?,The drain is clogged with hair. ,1
0_l_a_0007_n.jpg,l_a_0007_n.jpg,the cream,red,a man,an iPhone,logical,Anaphora,Is the color of [v1] [v2] ?,The woman put a cherry on the top of the cream. ,0
1_l_a_0007_n.jpg,l_a_0007_n.jpg,the cherry,red,a cherry,an iPhone,logical,Anaphora,Is the color of [v1] [v2] ?,The woman put a cherry on the top of the cream. ,1
0_l_a_0007_n_o.jpg,l_a_0007_n_o.jpg,the tree,roaring,a tree,an iPhone,logical,Anaphora,Is [v1] [v2] ?,There is a lion and a tree in the savannah. It is roaring. ,0
1_l_a_0007_n_o.jpg,l_a_0007_n_o.jpg,the lion,roaring,a lion,an iPhone,logical,Anaphora,Is [v1] [v2] ?,There is a lion and a tree in the savannah. It is roaring. ,1
